"","Date","Date_Exposed","DAE","Pool","Pool_Endo","Group","Endophyte","Distance","Plant","Leaf","Dam","Rhiz","Coll","Pucc","Sept"
"187","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Free",0,311,5,"ND",0,0,0,0
"188","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Free",0,311,6,"ND",0,0,0,0
"189","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Free",0,311,7,"ND",0,0,0,0
"190","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,113,1,"D",1,0,0,0
"191","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,113,2,"ND",0,0,0,0
"192","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,113,3,"ND",0,0,0,0
"193","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,113,4,"ND",0,0,0,0
"194","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,113,5,"NL",0,0,0,0
"195","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,113,6,"NL",0,0,0,0
"196","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,113,7,"NL",0,0,0,0
"197","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,24,1,"D",1,0,0,0
"198","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,24,2,"D",1,0,0,0
"199","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,24,3,"D",1,0,0,0
"200","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,24,4,"D",0,1,0,0
"201","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,24,5,"ND",0,0,0,0
"202","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,24,6,"ND",0,0,0,0
"203","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,24,7,"ND",0,0,0,0
"204","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,23,1,"D",1,0,0,0
"205","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,23,2,"D",1,0,0,0
"206","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,23,3,"D",1,0,0,0
"207","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,23,4,"D",1,0,0,0
"208","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,23,5,"ND",0,0,0,0
"209","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,23,6,"ND",0,0,0,0
"210","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",12,23,7,"ND",0,0,0,0
"211","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,290,1,"D",1,0,0,0
"212","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,290,2,"ND",0,0,0,0
"213","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Confirmed",12,290,3,"ND",0,0,0,0
